Screen Number,Screen ID,Path,Section,Type,Auto Advance,Has Button,Timed Delay (ms),Title (EN),Title (ES),Subtitle (EN),Field Type,Options/Fields,Conditional From,Next Step,Previous Step,Progress %,
1,goals,goals,1. Onboarding,multi-select,No,Yes,,How would your life change by losing weight?,¿Cómo cambiaría tu vida al perder peso?,Select all that apply.,checkbox,"clothes, confidence, energy, feel_better, health",,obesity-stats,,3,
2,obesity-stats,obesity-stats,1. Onboarding,custom (InfoImageStep),Yes,No,2500,,,,Shows obesity statistics infographic,info-image,,,medication-preference,goals,4
3,medication-preference,medication-preference,1. Onboarding,single-select,Yes,No,,Do you have a specific weight loss medication in mind?,¿Tienes en mente algún medicamento específico para perder peso?,,radio,"recommendation, have_in_mind",,research-done,obesity-stats,6,
4,research-done,research-done,1. Onboarding,custom (TypewriterStep),Yes,No,1000,You've got it. We'll begin with some questions about you.,Lo tienes. Comenzaremos con algunas preguntas sobre ti.,"After that, we'll dive into your health history...",typewriter,Conditional text based on medication_preference,,consent,medication-preference,7,
5,consent,consent,2. Consent & Basic Info,custom (ConsentStep),No,Yes,,"This questionnaire helps us understand your medical history, lifestyle, and goals.","Este cuestionario nos ayuda a entender tu historial médico, estilo de vida y objetivos.",Similar to the form you fill out when you visit the doctor.,checkbox,consent_accepted,,state,research-done,8,
6,state,state,2. Consent & Basic Info,custom (StateSelectStep),No,Yes,,Select the state you live in:,Selecciona el estado en el que vives:,This state is where your medication will be shipped to.,select + checkbox,"state dropdown, terms_accepted",,name,consent,10,
7,name,name,2. Consent & Basic Info,input,No,Yes,,What is your name?,¿Cuál es tu nombre?,"This way, we can personalize your experience.",text,"firstName, lastName",,dob,state,12,
8,dob,dob,2. Consent & Basic Info,custom (DateOfBirthStep),No,Yes,,"To check if you qualify, tell us your date of birth.","Para verificar si calificas, dinos tu fecha de nacimiento.",This helps us confirm age requirements.,date + checkbox,"month, day, year, age_certified",,sex-assigned,name,14,
9,sex-assigned,sex-assigned,2. Consent & Basic Info,single-select,Yes,No,,Sex assigned at birth,Sexo asignado al nacer,This medical information helps us properly assess your eligibility.,radio,"male, female",,contact-info,dob,16,
10,contact-info,contact-info,2. Consent & Basic Info,custom (ContactInfoStep),No,Yes,,How can we contact you?,¿Cómo podemos contactarte?,,email + phone + checkbox,"email, phone, contact_consent",,support-info,sex-assigned,18,
11,support-info,support-info,2. Consent & Basic Info,custom (SupportInfoStep),Yes,No,2500,Did you know?,¿Sabías que?,Assigns a representative to your case...,info,,,address,contact-info,18,
12,address,address,3. Address & Weight,custom (AddressStep),No,Yes,,What's your shipping address?,¿Cuál es tu dirección de envío?,All treatment medications are shipped to your door.,address,"street, apartment (Google autocomplete)",,ideal-weight,support-info,25,
13,ideal-weight,ideal-weight,3. Address & Weight,custom (WeightInputStep),No,Yes,,What's your ideal weight?,¿Cuál es tu peso ideal?,This isn't a binding contract—think of it as your long-term target.,number,ideal_weight (lbs),,current-weight,address,30,
14,current-weight,current-weight,3. Address & Weight,custom (WeightHeightStep),No,Yes,,What's your current weight?,¿Cuál es tu peso actual?,Just an estimate is fine. We'll use this to calculate your BMI.,number + select,"current_weight, height_feet, height_inches",,bmi-calculating,ideal-weight,35,
15,bmi-calculating,bmi-calculating,4. BMI Result,custom (BMICalculatingStep),Yes,No,4000,One moment,Un momento,,animation,Calculating BMI animation,,bmi-result,current-weight,40,
16,bmi-result,bmi-result,4. BMI Result,custom (BMIResultStep),No,Yes,,"Based on the information you shared, the use of medication may be appropriate for you.","Según la información que compartiste, el uso de medicamentos puede ser apropiado para ti.",,display,"Shows BMI, weight loss potential, goal weight",,testimonials,bmi-calculating,65,
17,testimonials,testimonials,4. BMI Result,custom (TestimonialsStep),Yes,No,4000,Join the thousands of transformations we've helped achieve.,Únete a los miles de transformaciones que hemos ayudado a lograr.,Each of these cases features real patients.,carousel,Before/after testimonial images,,medical-history-overview,bmi-result,70,
18,medical-history-overview,medical-history-overview,5. Medical History,custom (MedicalHistoryOverviewStep),Yes,No,2500,Now let's review your medical history.,Ahora revisemos tu historial médico.,,info,,,"pregnancy (if female), activity-level (if male)",testimonials,71,
19,pregnancy,pregnancy,5. Medical History,single-select,Yes,No,,"Are you currently pregnant, breastfeeding, or planning to become pregnant in the next 6 months?","¿Estás actualmente embarazada, amamantando o planeas quedar embarazada en los próximos 6 meses?",,radio,"yes, no",sex = female,activity-level,medical-history-overview,72,
20,activity-level,activity-level,5. Medical History,single-select,Yes,No,,What is your usual level of daily physical activity?,¿Cuál es tu nivel habitual de actividad física diaria?,,radio,"5 (Very Active), 4, 3 (Moderate), 2, 1 (Not Active)",,mental-health,medical-history-overview,73,
21,mental-health,mental-health,5. Medical History,single-select,Yes,No,,Have you been diagnosed with any of the following mental health conditions?,¿Has sido diagnosticado con alguna de las siguientes condiciones de salud mental?,We ask this because some conditions may influence treatment.,radio,"yes, no",,"mental-health-conditions (if yes), programs-include (if no)",activity-level,74,
22,mental-health-conditions,mental-health-conditions,5. Medical History,single-select,Yes,No,,Have you been diagnosed with any of the following?,¿Has sido diagnosticado con alguno de los siguientes?,Some conditions may influence treatment type.,radio,"none, depression, bipolar, bpd, panic, schizophrenia, psychosis",has_mental_health = yes,programs-include,mental-health,75,
23,programs-include,programs-include,5. Medical History,custom (ProgramsIncludeStep),Yes,No,2500,All our programs include,Todos nuestros programas incluyen,,info,Benefits list,,chronic-conditions,mental-health,76,
24,chronic-conditions,chronic-conditions,5. Medical History,single-select,Yes,No,,Do you have any medical conditions or chronic diseases?,¿Tienes alguna condición médica o enfermedad crónica?,,radio,"yes, no",,"chronic-conditions-detail (if yes), digestive-conditions (if no)",programs-include,78,
25,chronic-conditions-detail,chronic-conditions-detail,5. Medical History,custom (ChronicConditionsDetailStep),No,Yes,,What type of chronic condition or disease do you have?,¿Qué tipo de condición o enfermedad crónica padeces?,,text,Free text input,has_chronic_conditions = yes,digestive-conditions,chronic-conditions,80,
26,digestive-conditions,digestive-conditions,5. Medical History,multi-select,No,Yes,,Do you have any of the following stomach or digestive conditions?,¿Tienes alguna de las siguientes condiciones estomacales o digestivas?,,checkbox,"ibs, celiac, constipation, heartburn, gastroparesis, ulcer, crohns, colitis, diverticulitis, none",,kidney-conditions,chronic-conditions,82,
27,kidney-conditions,kidney-conditions,5. Medical History,single-select,Yes,No,,Do you have any history of kidney problems?,¿Tienes algún historial de problemas renales?,,radio,"yes, no",,surgery,digestive-conditions,83,
